,video_id,Video title,LINK
32,BWizGcBvEos,[IoT Tech Expo 2021] A pragmatic approach for a migration towards a zero-trust network,https://www.youtube.com/watch?v=BWizGcBvEos
33,EUGs0ngS6Co,Wi-Fi 6: Education,https://www.youtube.com/watch?v=EUGs0ngS6Co
34,EZdaUqAglA4,Welcome & Agenda,https://www.youtube.com/watch?v=EZdaUqAglA4
35,FKLUYC7zSng,OmniSwitch Core Portfolio evolution from 40G to 100G Fabric,https://www.youtube.com/watch?v=FKLUYC7zSng
36,FRdq44d7uMg,Precision Time Protocol in modern networks,https://www.youtube.com/watch?v=FRdq44d7uMg
37,GfnAVTx1keo,Transportation and the Internet of Things on Larry Rose Live!,https://www.youtube.com/watch?v=GfnAVTx1keo
38,JvJnDr90hZ8,What's New in Wi-Fi 6 Overview for Healthcare,https://www.youtube.com/watch?v=JvJnDr90hZ8
39,LzjnWHsAoSg,ALE: Where everything connects,https://www.youtube.com/watch?v=LzjnWHsAoSg
40,MaQBosNbpeg,OmniAccess Stellar Asset Tracking and Contact Tracing,https://www.youtube.com/watch?v=MaQBosNbpeg
41,O_wFzDM5d-c,NSX-T and OmniSwitch Integration,https://www.youtube.com/watch?v=O_wFzDM5d-c
42,Or-Q1mM5HDw,OmniAccess Stellar Voice over WLAN Design Guidelines,https://www.youtube.com/watch?v=Or-Q1mM5HDw
43,QeH-TAyN11I,Wi-Fi 6: Government,https://www.youtube.com/watch?v=QeH-TAyN11I
44,R36V85iJtzg,IoT containment for healthcare made easy,https://www.youtube.com/watch?v=R36V85iJtzg
45,SX978-3WZTg,ALE presents OmniAccess Stellar Wi-Fi 7,https://www.youtube.com/watch?v=SX978-3WZTg
46,T5iBWRqUSeU,Cyber Security and IoT in Transportation,https://www.youtube.com/watch?v=T5iBWRqUSeU
47,W-8-BwEJCDs,"Avec OmniVista Network Advisor, mettez l’IA au service de votre réseau",https://www.youtube.com/watch?v=W-8-BwEJCDs
48,Wv4QR7G9bQg,Education and the Internet of Things on Larry Rose Live!,https://www.youtube.com/watch?v=Wv4QR7G9bQg
49,ZYbTLBoe804,IoT Deployment in Rail,https://www.youtube.com/watch?v=ZYbTLBoe804
50,aE0QDxO7QTE,Industry-specific solutions tailored for you,https://www.youtube.com/watch?v=aE0QDxO7QTE
51,bjan9mVVXEY,PMR video animation,https://www.youtube.com/watch?v=bjan9mVVXEY
52,dHZruEfdkRI,OmniAccess Stellar Remote Access Point Design Guidelines​,https://www.youtube.com/watch?v=dHZruEfdkRI
53,f92erFcbuv8,What does hardworking Wi-Fi mean for you and your business?,https://www.youtube.com/watch?v=f92erFcbuv8
54,hiPfl12ThmU,IT & Operations: Bridging the Gap for Successful Digital Transformation,https://www.youtube.com/watch?v=hiPfl12ThmU
55,jDJzIQwCLdU,Hospitality and the Internet of Things on Larry Rose Live!,https://www.youtube.com/watch?v=jDJzIQwCLdU
56,jsfuf9Wzl1E,Methods to authenticate devices using OmniVista Unified Policy and Access Manager,https://www.youtube.com/watch?v=jsfuf9Wzl1E
57,keajiBpXC3Q,What's New in Wi-Fi 6 Overview for Government,https://www.youtube.com/watch?v=keajiBpXC3Q
58,klC3E6RNsg8,Réseaux : 6 choses à savoir avant de choisir le LAN de votre entreprise,https://www.youtube.com/watch?v=klC3E6RNsg8
59,llulIzjSw4k,IoT containment for education made easy,https://www.youtube.com/watch?v=llulIzjSw4k
60,mSexAGuQys4,Alcatel-Lucent Enterprise - Digital Age Networking,https://www.youtube.com/watch?v=mSexAGuQys4
61,nJ5AgdGclYg,Réseaux : 6 choses à savoir avant de choisir le Wi-Fi de votre entreprise,https://www.youtube.com/watch?v=nJ5AgdGclYg
62,nrGNnqf1naE,Asset Tracking und Kontaktverfolgung im Gesundheitswesen,https://www.youtube.com/watch?v=nrGNnqf1naE
63,nsEs9o2R2xA,Landing at a university near you,https://www.youtube.com/watch?v=nsEs9o2R2xA
64,psvUrGaxL9Q,Nutanix Alliance and OmniSwitch Integration,https://www.youtube.com/watch?v=psvUrGaxL9Q
65,qjBsqguTcsk,Zero Trust Series: Quarantine and Remediation,https://www.youtube.com/watch?v=qjBsqguTcsk
66,qu2BJgt8Myk,What's New in Wi-Fi 6 Overview,https://www.youtube.com/watch?v=qu2BJgt8Myk
67,rI3wkOyINcQ,The Internet of Things on Larry Rose Live! full length version,https://www.youtube.com/watch?v=rI3wkOyINcQ
68,rOARZdg5vbc,Wi-Fi 6: Healthcare,https://www.youtube.com/watch?v=rOARZdg5vbc
69,sSMfeFwNiJI,ALE Network Technical Directions​ in 2022,https://www.youtube.com/watch?v=sSMfeFwNiJI
70,sbTjWiimpQI,Corporate Network Extension with OmniAccess Stellar Mesh Design Guidelines,https://www.youtube.com/watch?v=sbTjWiimpQI
71,t6Em-vANF9Q,SPB - bringing SDN to the access and campus network,https://www.youtube.com/watch?v=t6Em-vANF9Q
72,tbIJwwOqvEA,"What OmniVista Network Advisor, AIOps system, can do for your network infrastructure?",https://www.youtube.com/watch?v=tbIJwwOqvEA
73,uHvxHTa6AFw,Wi-Fi 6: Distributed Wi-Fi Control Architecture,https://www.youtube.com/watch?v=uHvxHTa6AFw
74,uLs-d46ZYHE,Digital Age Networking Video: Augmented Intelligence,https://www.youtube.com/watch?v=uLs-d46ZYHE
75,usQijyl2Zk4,Wi-Fi 6: Hospitality,https://www.youtube.com/watch?v=usQijyl2Zk4
76,wB65FGQ5zqE,Network Profile Fundamentals,https://www.youtube.com/watch?v=wB65FGQ5zqE
77,wTBL0OFDGYk,OmniSwitch certifications sécurité 2021,https://www.youtube.com/watch?v=wTBL0OFDGYk
78,wXLuFkCS1Q8,OmniSwitch Milestone Plugin - Intégration unique entre réseau & VMS,https://www.youtube.com/watch?v=wXLuFkCS1Q8
